question,step,k,acc_mean,acc_std,n_full,n_partial,n_wrong,score_mean,score_var,score_std,iou_mean,iou_max,zero_acc_var,zero_score_var
Which fruit that is shown whole among the neatly arranged initial ingredients is later squeezed so its juice can be stirred into the batter?,209,16,1.0,0.0,16,0,0,1.9018,0.0816,0.2857,0.4018,0.9396,1,0
What color is the mop bucket that the man carries when he first appears after the woman’s explanation and later uses while wringing out his mop before walking away?,180,16,1.0,0.0,16,0,0,2.232,0.07183,0.268,0.732,0.9577,1,0
Which color is the knife handle that appears both beside the untouched chocolate cake at the beginning and later while slicing the finished cakes in the red molds?,156,16,1.0,0.0,16,0,0,2.1727,0.07045,0.2654,0.6727,0.9809,1,0
What event name is printed on the large banners visible both at the crowded marathon start line and later near the suburban finishing stretch?,212,16,1.0,0.0,16,0,0,1.8689,0.06758,0.26,0.3689,0.8786,1,0
"After the green-shirted arm wrestler wins and just before the sequence jumps to the activity montage, what courtesy do the two competitors exchange?",168,16,1.0,0.0,16,0,0,1.6746,0.06108,0.2472,0.1746,0.6783,1,0
Which flotation device appears both when one girl tests the river by dipping her toe and later when another girl floats downstream giving a thumbs-up?,226,16,1.0,0.0,16,0,0,2.2228,0.05864,0.2421,0.7228,1.0,1,0
"Immediately after the skateboarder lands his jump off the graffiti-covered curve and the video cuts to a man speaking front-and-center, what device is visibly clipped to the man’s jacket?",234,16,1.0,0.0,16,0,0,1.9494,0.05723,0.2392,0.4494,0.7492,1,0
How many bungee jumps does the on-screen text proclaim right after the man finishes his upside-down bungee swing and before the two women start their synchronized climbing-frame routine?,167,16,1.0,0.0,16,0,0,1.766,0.05542,0.2354,0.266,0.7778,1,0
"After the lone kayaker startles a large bird from the mangrove branches, which animal do the paddlers later find resting on the sand when they pull their kayaks ashore?",169,16,1.0,0.0,16,0,0,2.1446,0.05444,0.2333,0.6446,0.972,1,0
Which household appliance does the man slide over a white cloth on a metallic tank shortly after he operates a power sander on a surfboard fin?,191,16,1.0,0.0,16,0,0,1.9508,0.05354,0.2314,0.4508,0.9231,1,0
What single word appears on the illuminated sign that is visible when the group steps out of the elevator into the hallway and later glows behind the mannequin wearing a black hoodie inside the clothing store?,218,16,1.0,0.0,16,0,0,1.953,0.0508,0.2254,0.453,0.8651,1,0
"After the person finishes slicing lemons, which fruit do they next cut in half and press on the manual juicer?",221,16,1.0,0.0,16,0,0,2.0238,0.0498,0.2232,0.5238,0.8464,1,0
"After the camera exits the convenience store through the automatic glass door and scans the nighttime plaza, what kind of small vehicles are shown parked along the walkway?",222,16,1.0,0.0,16,0,0,1.8128,0.04956,0.2226,0.3128,0.6667,1,0
Which color is the torque wrench the mechanic uses to tighten the lug nuts after reinstalling the wheel but before he raises the car with a floor jack?,145,16,1.0,0.0,16,0,0,1.9276,0.04924,0.2219,0.4589,0.8429,1,0
Which slogan appears on the red background right after the words “BIG PUSH 2013” and immediately before the video shifts to children gathering around coaches on the field?,225,16,1.0,0.0,16,0,0,1.9955,0.0488,0.2209,0.4955,1.0,1,0
What item on the wooden table displays inspirational pumpkin-carving images before the person with red nails begins marking the real pumpkin?,237,16,1.0,0.0,16,0,0,2.1756,0.04874,0.2208,0.6756,0.9167,1,0
"Following the outdoor soccer game with players in green and yellow jerseys, which person appears indoors to explain a small rectangular object?",143,16,1.0,0.0,16,0,0,1.9546,0.04575,0.2139,0.4546,0.9188,1,0
"After the woman checks the red-capped man’s arm with a stethoscope, which device does she use while working on his chest?",166,16,1.0,0.0,16,0,0,1.6991,0.04511,0.2124,0.1991,0.8312,1,0
What specific word that briefly appears in white cursive amid the initial floating pink letters later shows up as a freshly tattooed script on a wrist?,171,16,1.0,0.0,16,0,0,2.2426,0.04412,0.21,0.7426,1.0,1,0
Which single letter is featured both on the illuminated display behind the initial accessories and on the bold storefront window later in the video?,199,16,1.0,0.0,16,0,0,2.1193,0.04041,0.201,0.6193,0.978,1,0
"When the video cuts from the couple posing with a flower and thermometer to the scene of them brushing in robes, what single word appears on the intervening black screen?",177,16,1.0,0.0,16,0,0,1.9098,0.03785,0.1946,0.4098,0.8,1,0
"After digging with a yellow shovel, the man later pours water onto the finished sandcastle towers. What color is the bucket he uses for the water?",229,16,1.0,0.0,16,0,0,1.6383,0.03784,0.1945,0.1383,0.6227,1,0
"While the flutist speaks against the brick wall backdrop before and after his performances, which other large musical instrument remains visible in the background but is never played?",146,16,1.0,0.0,16,0,0,2.1943,0.03779,0.1944,0.6943,0.9971,1,0
"Which vegetable, first shown growing in a transparent container in the garden, is later halved, its seeds scooped out, and then sliced on the kitchen cutting board?",152,16,1.0,0.0,16,0,0,2.2444,0.03756,0.1938,0.7444,0.9313,1,0
"After the opening pole-vault sequence where the athlete lands on a mat labeled “PORTA PIT,” which brand name appears on the landing mats during the later high-jump scenes once the bar height has been raised?",146,16,1.0,0.0,16,0,0,1.718,0.03748,0.1936,0.218,0.6186,1,0
"After the hands completely smooth out the famous poster of the woman wearing a red polka-dot headscarf, which topic features on the next poster the hand later points to and traces?",226,16,1.0,0.0,16,0,0,1.7916,0.03702,0.1924,0.2916,0.6667,1,0
What color is common to the sleeve of the hand holding the poised drumstick at the start and to the performers’ shirts when they later drum and perform acrobatics?,223,16,1.0,0.0,16,0,0,2.1197,0.03686,0.192,0.6197,0.9778,1,0
Which two players immediately start a new squash match right after Vinod’s outdoor 3-0 victory celebration?,179,16,1.0,0.0,16,0,0,2.0393,0.03679,0.1918,0.5393,0.9,1,0
